,age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,gender,capital_gain,capital_loss,hours_per_week,native_country,income_bracket
0,68,?,374095,Assoc-acdm,12,Married-civ-spouse,?,Husband,White,Male,0,0,50,United-States,<=50K
1,30,Private,126701,Bachelors,13,Divorced,Adm-clerical,Unmarried,White,Female,0,0,60,United-States,<=50K
2,30,Private,207301,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,>50K
3,35,Private,341762,5th-6th,3,Divorced,Priv-house-serv,Unmarried,White,Female,0,0,30,United-States,<=50K
4,29,Private,210525,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
5,23,?,24402,11th,7,Married-civ-spouse,?,Husband,White,Male,0,0,40,United-States,<=50K
6,32,Private,162961,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K
7,44,Private,235329,5th-6th,3,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K
8,30,Private,99086,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
9,30,?,154120,HS-grad,9,Married-civ-spouse,?,Wife,White,Female,0,0,45,United-States,<=50K
10,52,?,203263,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,1485,60,United-States,>50K
11,67,?,176185,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,40,United-States,<=50K
12,50,Private,60838,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K
13,59,Private,25649,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,<=50K
14,44,State-gov,179557,Some-college,10,Divorced,Sales,Unmarried,White,Female,0,0,30,United-States,<=50K
15,57,Private,509462,Bachelors,13,Divorced,Adm-clerical,Unmarried,White,Female,0,0,50,United-States,<=50K
16,32,Private,319163,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,>50K
17,59,Private,22902,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
18,43,Private,197332,Some-college,10,Separated,Adm-clerical,Unmarried,White,Female,0,0,45,United-States,<=50K
19,71,Private,241951,Bachelors,13,Widowed,Adm-clerical,Unmarried,White,Female,0,0,33,United-States,<=50K
20,51,Private,220510,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K
21,43,?,190072,Some-college,10,Divorced,?,Not-in-family,White,Female,0,0,2,United-States,<=50K
22,41,Private,214787,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,1485,40,United-States,>50K
23,41,Private,401690,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,60,United-States,>50K
24,74,Private,199915,11th,7,Widowed,Other-service,Not-in-family,White,Female,0,0,40,United-States,>50K
25,35,Private,60722,Bachelors,13,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,<=50K
26,43,Private,125933,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K
27,32,Private,162551,Bachelors,13,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,0,0,60,Hong,>50K
28,28,Private,168981,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
29,18,Private,187751,11th,7,Never-married,Other-service,Own-child,White,Male,0,0,60,United-States,<=50K
30,18,Private,187714,Some-college,10,Never-married,Sales,Other-relative,White,Male,0,0,20,United-States,<=50K
31,57,Private,227961,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,>50K
32,18,Private,184846,HS-grad,9,Never-married,Sales,Own-child,White,Male,0,0,30,United-States,<=50K
33,58,Private,82683,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,<=50K
34,20,?,297505,Assoc-acdm,12,Never-married,?,Not-in-family,White,Female,0,0,6,United-States,<=50K
35,41,Private,254423,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,<=50K
36,54,Private,149102,Bachelors,13,Divorced,Adm-clerical,Not-in-family,White,Female,4650,0,40,Poland,<=50K
37,45,Private,99161,Bachelors,13,Widowed,Transport-moving,Unmarried,White,Female,13550,0,45,United-States,>50K
38,26,Private,169460,HS-grad,9,Divorced,Transport-moving,Other-relative,White,Male,0,0,40,United-States,<=50K
39,51,Private,193143,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,>50K
40,28,Private,80572,Bachelors,13,Never-married,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,<=50K
41,33,Private,176839,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
42,52,Private,169101,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,<=50K
43,19,Private,162621,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,25,United-States,<=50K
44,57,Private,465026,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
45,24,Private,47306,Some-college,10,Never-married,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
46,30,Private,237732,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,25,United-States,<=50K
47,49,Private,341846,Bachelors,13,Never-married,Prof-specialty,Unmarried,White,Female,0,0,48,United-States,<=50K
48,25,Private,206997,Assoc-voc,11,Never-married,Sales,Not-in-family,White,Male,0,0,50,United-States,<=50K
49,49,Private,457402,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,48,Mexico,>50K
